,row_id,icd9_code,short_title,long_title
11654,11655,E9218,Press vessel explos NEC,Accident caused by explosion of other specified pressure vessels
11655,11656,E9219,Press vessel explos NOS,Accident caused by explosion of unspecified pressure vessel
11656,11657,E9220,Handgun accident,Accident caused by handgun
11657,11658,E9221,Shotgun accident,Accident caused by shotgun (automatic)
11658,11659,E9222,Hunting rifle accident,Accident caused by hunting rifle
11659,11660,E9223,Military firearm accid,Accident caused by military firearms
11660,11661,E9224,Accident - air gun,Accident caused by air gun
11661,11662,E9225,Accident-paintball gun,Accident caused by paintball gun
11662,11663,E9228,Firearm accident NEC,Accident caused by other specified firearm missile
11663,11664,E9229,Firearm accident NOS,Accident caused by unspecified firearm missile
11664,11665,E9230,Fireworks accident,Accident caused by fireworks
11665,11666,E9231,Blasting materials accid,Accident caused by blasting materials
11666,11667,E9232,Explosive gases accident,Accident caused by explosive gases
11667,11668,E9238,Explosives accident NEC,Accident caused by other explosive materials
11668,11669,E9239,Explosives accident NOS,Accident caused by unspecified explosive material
11669,11670,E9240,Acc-hot liquid & steam,"Accident caused by hot liquids and vapors, including steam"
11670,11671,E9241,Accid-caustic substance,Accident caused by caustic and corrosive substances
11671,11672,E9242,Acc-hot tap water,Accident caused by hot (boiling) tap water
11672,11673,E9248,Hot substance accid NEC,Accident caused by other hot substance or object
11673,11674,E9249,Hot substance accid NOS,Accident caused by unspecified hot substance or object
11674,11675,E9250,Domestic wiring accident,Accident caused by domestic wiring and appliances
11675,11676,E9251,Electr power generat acc,"Accident caused by electric current in electric power generating plants, distribution stations, transmission lines"
11676,11677,E9252,Indust wiring/machin acc,"Accident caused by industrial wiring, appliances, and electrical machinery"
11677,11678,E9258,Electric current acc NEC,Accident caused by other electric current
11678,11679,E9259,Electric current acc NOS,Accident caused by unspecified electric current
11679,11680,E9260,Radiofreq radiat exposur,Exposure to radiofrequency radiation
11680,11681,E9261,Infra-red appl rad exos,Exposure to infra-red radiation from heaters and lamps
11681,11682,E9262,Vis/ultraviol lght expos,Exposure to visible and ultraviolet light sources
11682,11683,E9263,X-ray/gamma ray exposure,Exposure to x-rays and other electromagnetic ionizing radiation
11683,11684,E9264,Laser exposure,Exposure to lasers
11684,11685,E9265,Radioact isotope exposur,Exposure to radioactive isotopes
11685,11686,E9268,Radiation exposure NEC,Exposure to other specified radiation
11686,11687,E9269,Radiation exposure NOS,Exposure to unspecified radiation
11687,11688,E9270,Overxrt-sudn stren mvmt,Overexertion from sudden strenuous movement
11688,11689,E9271,Overxrt-prolng stc postn,Overexertion from prolonged static position
11689,11690,E9272,Excess physical exert,Excessive physical exertion
11690,11691,E9273,Cumltv trma-repetv motn,Cumulative trauma from repetitive motion
11691,11692,E9274,Cumltv trma-repetv impct,Cumulative trauma from repetitive impact
11692,11693,E9278,Overexert reptv mvmt NEC,Other overexertion and strenuous and repetitive movements or loads
11693,11694,E9279,Overexert reptv mvmt NOS,Unspecified overexertion and strenuous and repetitive movements or loads
11694,11695,E9280,Acc d/t weightless envir,Prolonged stay in weightless environment
11695,11696,E9281,Exposure to noise,Exposure to noise
11696,11697,E9282,Exposure to vibration,Vibration
11697,11698,E9283,Human bite - accidental,Human bite
11698,11699,E9284,Ext constriction-hair,External constriction caused by hair
