,row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid
9990,13178,224109,Cervical Collar Type,Cervical Collar Type,metavision,chartevents,Treatments,,Text,
9991,13179,224110,Cervical Collar Status,Cervical Collar Status,metavision,chartevents,Treatments,,Text,
9992,13180,224112,Traction/Immobile #1,Traction/Immobile #1,metavision,chartevents,Treatments,,Text,
9993,13181,224113,Traction/Immobile Location #1,Traction/Immobile Location #1,metavision,chartevents,Treatments,,Text,
9994,13182,224114,PT Splint Location #1,PT Splint Location #1,metavision,chartevents,Treatments,,Text,
9995,13183,224119,22 Gauge Site Appear,22 Gauge Site Appear,metavision,chartevents,Access Lines - Peripheral,,Text,
9996,13184,224121,22 Gauge Reason Discontinued,22 Gauge Reason Discontinued,metavision,chartevents,Access Lines - Peripheral,,Text,
9997,13185,224135,Dialysis Access Site,Dialysis Access Site,metavision,chartevents,Dialysis,,Text,
9998,13186,224139,Dialysis Site Appearance,Dialysis Site Appearance,metavision,chartevents,Dialysis,,Text,
9999,13187,224144,Blood Flow (ml/min),Blood Flow (ml/min),metavision,chartevents,Dialysis,ml/min,Numeric,
10000,13188,224145,Heparin Dose (per hour),Heparin Dose (per hour),metavision,chartevents,Dialysis,units,Numeric,
10001,13189,224146,System Integrity,System Integrity,metavision,chartevents,Dialysis,,Text,
10002,13190,224149,Access Pressure,Access Pressure,metavision,chartevents,Dialysis,mmHg,Numeric,
10003,13191,224150,Filter Pressure,Filter Pressure,metavision,chartevents,Dialysis,mmHg,Numeric,
10004,13192,224151,Effluent Pressure,Effluent Pressure,metavision,chartevents,Dialysis,mmHg,Numeric,
10005,13193,224152,Return Pressure,Return Pressure,metavision,chartevents,Dialysis,mmHg,Numeric,
10006,13194,224153,Replacement Rate,Replacement Rate,metavision,chartevents,Dialysis,ml/hr,Numeric,
10007,13195,224154,Dialysate Rate,Dialysate Rate,metavision,chartevents,Dialysis,ml/hr,Numeric,
10008,13196,223944,Brachial Pulse L,Brachial Pulse L,metavision,chartevents,Cardiovascular (Pulses),,Text,
10009,13197,223945,Femoral Pulse L,Femoral Pulse L,metavision,chartevents,Cardiovascular (Pulses),,Text,
10010,13198,223946,Popliteal Pulse L,Popliteal Pulse L,metavision,chartevents,Cardiovascular (Pulses),,Text,
10011,13199,223947,PostTib. Pulses L,PostTib Pulses L,metavision,chartevents,Cardiovascular (Pulses),,Text,
10012,13200,223948,Radial Pulse L,Radial Pulse L,metavision,chartevents,Cardiovascular (Pulses),,Text,
10013,13201,223949,Ulnar Pulse L,Ulnar Pulse L,metavision,chartevents,Cardiovascular (Pulses),,Text,
10014,13202,223951,Capillary Refill R,Capillary Refill R,metavision,chartevents,Cardiovascular (Pulses),,Text,
10015,13203,223952,Pericardial Drain Status,Pericardial Drain Status,metavision,chartevents,Cardiovascular,,Text,
10016,13204,223953,Pericardial Drain Drainage,Pericardial Drain Drainage,metavision,chartevents,Cardiovascular,,Text,
10017,13205,223954,Pericardial Drain Site,Pericardial Drain Site,metavision,chartevents,Cardiovascular,,Text,
10018,13206,223955,Temporary Pacemaker Type,Temp Pacemaker Type,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
10019,13207,223956,Temporary Pacemaker Mode,Temp Pacemaker Mode,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
10020,13208,223957,Pacer Rate,Pacer Rate,metavision,chartevents,Cardiovascular (Pulses),,Text,
10021,13209,223958,Temporary Venticular Sens Threshold mV,Temp Venticular Sens Threshold mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
10022,13210,223960,Temporary Venticular Stim Threshold mA,Temp Venticular Stim Threshold mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
10023,13211,223961,Temporary Pacemaker Wire Condition,Temp Pacemaker Wire Condition,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
10024,13212,223962,Temporary Pacemaker Wires Venticular,Temp Pacemaker Wires Venticular,metavision,chartevents,Cardiovascular (Pacer Data),None,Numeric,
10025,13213,223963,Temporary Pacemaker Wires Ground,Temp Pacemaker Wires Ground,metavision,chartevents,Cardiovascular (Pacer Data),None,Numeric,
10026,13214,223964,Transcutaneous Pacer,Transcutaneous Pacer,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
10027,13215,223966,Transcutaneous Pacer Placement,Transcutaneous Pacer Placement,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
10028,13216,223967,Angio Site # 1,Angio Site # 1,metavision,chartevents,Cardiovascular,,Text,
10029,13217,223968,Angio Appearance # 1,Angio Appearance # 1,metavision,chartevents,Cardiovascular,,Text,
10030,13218,223969,Transcutaneous Pacer Rate,Transcutaneous Pacer Rate,metavision,chartevents,Cardiovascular (Pacer Data),None,Numeric,
10031,13219,223970,Angio Dressing # 1,Angio Dressing # 1,metavision,chartevents,Cardiovascular,,Text,
10032,13220,223971,Angio Site # 2,Angio Site # 2,metavision,chartevents,Cardiovascular,,Text,
10033,13221,223972,Angio Appearance # 2,Angio Appearance # 2,metavision,chartevents,Cardiovascular,,Text,
10034,13222,223973,Angio Dressing # 2,Angio Dressing # 2,metavision,chartevents,Cardiovascular,,Text,
10035,13223,223976,RUE Color,RUE Color,metavision,chartevents,Cardiovascular,,Text,
10036,13224,223979,RLE Color,RLE Color,metavision,chartevents,Cardiovascular,,Text,
10037,13225,223982,LUE Color,LUE Color,metavision,chartevents,Cardiovascular,,Text,
10038,13226,223983,LLE Color,LLE Color,metavision,chartevents,Cardiovascular,,Text,
10039,13227,223985,Respiratory Pattern,Respiratory Pattern,metavision,chartevents,Pulmonary,,Text,
10040,13228,223986,RUL Lung Sounds,RUL Lung Sounds,metavision,chartevents,Pulmonary,,Text,
10041,13229,223987,RLL Lung Sounds,RLL Lung Sounds,metavision,chartevents,Pulmonary,,Text,
10042,13230,224669,Restlessness,Restlessness,metavision,chartevents,Toxicology,,Text,
10043,13231,224670,Lacrimation,Lacrimation,metavision,chartevents,Toxicology,,Text,
10044,13232,224671,Pupils,Pupils,metavision,chartevents,Toxicology,,Text,
10045,13233,224672,Yawning,Yawning,metavision,chartevents,Toxicology,,Text,
10046,13234,224673,Abdominal Changes: Observation,Abdominal Changes: Observation,metavision,chartevents,Toxicology,,Text,
10047,13235,224674,Changes in Temperature,Changes in Temperature,metavision,chartevents,Toxicology,,Text,
10048,13236,224675,Muscle Aches,Muscle Aches,metavision,chartevents,Toxicology,,Text,
10049,13237,224676,Nausea and Vomiting (CINA),Nausea and Vomiting (CINA),metavision,chartevents,Toxicology,,Text,
10050,13238,224677,Tremor (CINA),Tremor (CINA),metavision,chartevents,Toxicology,,Text,
10051,13239,224680,Cuff Volume/units,Units,metavision,chartevents,Respiratory,,Text,
10052,13240,224684,Tidal Volume (set),Tidal Volume (set),metavision,chartevents,Respiratory,mL,Numeric,
10053,13241,224685,Tidal Volume (observed),Tidal Volume (observed),metavision,chartevents,Respiratory,mL,Numeric,
10054,13242,224686,Tidal Volume (spontaneous),Tidal Volume (spontaneous),metavision,chartevents,Respiratory,mL,Numeric,
10055,13243,224687,Minute Volume,Minute Volume,metavision,chartevents,Respiratory,L/min,Numeric,
10056,13244,224688,Respiratory Rate (Set),Respiratory Rate (Set),metavision,chartevents,Respiratory,insp/min,Numeric,
10057,13245,224689,Respiratory Rate (spontaneous),Respiratory Rate (spontaneous),metavision,chartevents,Respiratory,insp/min,Numeric,
10058,13246,224690,Respiratory Rate (Total),Respiratory Rate (Total),metavision,chartevents,Respiratory,insp/min,Numeric,
10059,13247,224691,Flow Rate (L/min),Flow Rate (L/min),metavision,chartevents,Respiratory,L/min,Numeric,
10060,13248,224692,Flow Pattern,Flow Pattern,metavision,chartevents,Respiratory,,Text,
10061,13249,224695,Peak Insp. Pressure,Peak Insp. Pressure,metavision,chartevents,Respiratory,cmH2O,Numeric,
10062,13250,224696,Plateau Pressure,Plateau Pressure,metavision,chartevents,Respiratory,cmH2O,Numeric,
10063,13251,224697,Mean Airway Pressure,Mean Airway Pressure,metavision,chartevents,Respiratory,cmH2O,Numeric,
10064,13252,224699,ZAuto Peep Level,ZAuto Peep Level,metavision,chartevents,Respiratory,cmH2O,Numeric,
10065,13253,224700,Total PEEP Level,Total PEEP Level,metavision,chartevents,Respiratory,cmH2O,Numeric,
10066,13254,224701,PSV Level,PSV Level,metavision,chartevents,Respiratory,cmH2O,Numeric,
10067,13255,224702,PCV Level (Avea),PCV Level (Avea),metavision,chartevents,Respiratory,cmH2O,Numeric,
10068,13256,224703,ZATC Tube #,ZATC Tube #,metavision,chartevents,Respiratory,None,Numeric,
10069,13257,224704,ATC %,ATC %,metavision,chartevents,Respiratory,%,Numeric,
10070,13258,224705,P High (APRV),P High (APRV),metavision,chartevents,Respiratory,cmH2O,Numeric,
10071,13259,224706,P Low (APRV),P Low (APRV),metavision,chartevents,Respiratory,cmH2O,Numeric,
10072,13260,224707,T High (APRV),T High (APRV),metavision,chartevents,Respiratory,sec,Numeric,
10073,13261,224709,T Low (APRV),T Low (APRV),metavision,chartevents,Respiratory,sec,Numeric,
10074,13262,224710,Recruitment Press,Recruitment Press,metavision,chartevents,Respiratory,cmH2O,Numeric,
10075,13263,224711,Recruitment Duration,Recruitment Duration,metavision,chartevents,Respiratory,sec,Numeric,
10076,13264,224712,Recruitment Mode,Recruitment Mode,metavision,chartevents,Respiratory,,Text,
10077,13265,224713,Circuit Changed,Circuit Changed,metavision,chartevents,Respiratory,,Text,
10078,13266,224715,SBT Started,SBT Started,metavision,chartevents,Respiratory,,Text,
10079,13267,224716,SBT Stopped,SBT Stopped,metavision,chartevents,Respiratory,,Text,
10080,13268,224717,SBT Successfully Completed,SBT Successfully Completed,metavision,chartevents,Respiratory,,Text,
10081,13269,224718,RR > 35 for > 5 min,RR > 35 for > 5 min,metavision,chartevents,Respiratory,,Text,
10082,13270,224719,SaO2 < 90% > 2 min,SaO2 < 90% > 2 min,metavision,chartevents,Respiratory,,Text,
10083,13271,224720,Arrythmia,Arrythmia,metavision,chartevents,Respiratory,,Text,
10084,13272,224721,HR > 140,HR > 140,metavision,chartevents,Respiratory,,Text,
10085,13273,224723,Accessory Muscle Use,Accessory Muscle Use,metavision,chartevents,Respiratory,,Text,
10086,13274,224726,O2 Consumption,O2 Consumption,metavision,chartevents,Respiratory,ml/min,Numeric,
10087,13275,224727,Resting Energy Expenditure,REE,metavision,chartevents,Respiratory,kcal/day,Numeric,
10088,13276,224728,Peak Exp Flow Rate,Peak Exp Flow Rate,metavision,chartevents,Respiratory,L/min,Numeric,
10089,13277,224730,Corneal Reflex Right,Corneal Reflex Right,metavision,chartevents,Neurological,,Text,
10090,13278,224731,Corneal Reflex Left,Corneal Reflex Left,metavision,chartevents,Neurological,,Text,
10091,13279,224733,Pupil Size Left,Pupil Size Left,metavision,chartevents,Neurological,,Text,
10092,13280,224735,Flow Rate (variable/fixed),Flow Rate (variable/fixed),metavision,chartevents,Respiratory,,Text,
10093,13281,224738,Inspiratory Time,IT,metavision,chartevents,Respiratory,sec,Numeric,
10094,13282,224740,RSBI Deferred,RSBI Deferred,metavision,chartevents,Respiratory,,Text,
10095,13283,224743,Vd/Vt Ratio,Vd/Vt Ratio,metavision,chartevents,Respiratory,None,Numeric,
10096,13284,224745,Respiratory Quotient,RQ,metavision,chartevents,Respiratory,None,Numeric,
10097,13285,224746,Transpulmonary Pressure (Exp. Hold),Transpulmonary Press (Exp. Hold),metavision,chartevents,Respiratory,cmH2O,Numeric,
10098,13286,224747,Transpulmonary Pressure (Insp. Hold),Transpulmonary Press (Insp. Hold),metavision,chartevents,Respiratory,cmH2O,Numeric,
10099,13287,224748,Cont Neb - Dose (mg/hr/drug),Cont Neb - Dose (mg/hr/drug),metavision,chartevents,Respiratory,mg/hour,Numeric,
